order,cue,target,reaction_time,response
0,sheep,sheep,0.6176844000001438,m
1,owl,owl,0.40765420000388985,m
2,cow,cow,0.36625089999870397,m
3,scissors,scissors,0.445926899999904,m
4,motorcycle,train,0.4671304000003147,z
5,chicken,chicken,0.39920810000330675,m
6,owl,rooster,0.43775209999876097,z
7,whistle,whistle,0.39506059999985155,m
8,train,train,0.37048820000200067,m
9,baby,owl,0.41013329999987036,m
10,cricket,snake,0.5046570999984397,z
11,rooster,clock,0.4831932000015513,z
12,whistle,scissors,0.494554099997913,z
13,clock,hammer,0.4335547000009683,z
14,frog,baby,0.47085409999999683,z
15,motorcycle,motorcycle,0.4824298999956227,m
16,car,sheep,0.5100500999978976,z
17,sheep,gun,0.460315600001195,z
18,clock,clock,0.5610737000024528,m
19,chicken,whistle,0.5451262999995379,z
20,dog,cow,0.5706375999943702,z
21,bird,cat,0.506042900000466,z
22,cricket,cricket,0.42880090000107884,m
23,train,duck,0.4585653999965871,z
24,bird,bird,0.48790989999542944,m
25,dog,dog,0.5713336000044364,m
26,hammer,bird,0.45907650000299327,z
27,duck,frog,0.6075532999966526,z
28,keyboard,cricket,0.49405560000013793,z
29,snake,goat,0.489012999998522,z
30,car,car,0.38017820000095526,m
31,gun,bell,0.4545485999988159,z
32,bell,dog,0.44887340000423137,z
33,keyboard,keyboard,0.38118300000496674,m
34,cat,cat,0.44552439999824855,m
35,rooster,rooster,0.41871090000495315,m
36,hammer,hammer,0.3844037000017124,m
37,baby,baby,0.43197179999697255,m
38,gun,gun,0.3816406999976607,m
39,goat,goat,0.493621699999494,m
40,snake,snake,0.34485220000351546,m
41,frog,frog,0.402235000001383,m
42,duck,duck,0.48922090000269236,m
43,cat,chicken,0.3799509000018588,z
44,cow,motorcycle,0.4799931999950786,z
45,scissors,keyboard,0.4357451999967452,z
46,goat,car,0.592883700002858,z
47,bell,bell,0.503984799994214,m
